method,object,status,position_error_cm,rotation_error_deg,add_cm,add_success,total_time_s,detection_time_s,estimation_time_s
GDino+MegaPose,lamp,success,138.659,151.611,138.6102,0.0,28.436,1.329,27.107
GDino+MegaPose,cone,success,192.563,81.908,197.9166,0.0,14.417,0.555,13.862
GDino+MegaPose,redcup,success,104.651,98.11,105.6376,0.0,33.84,0.563,33.277
GDino+MegaPose,bottle,success,41.038,149.143,42.9736,0.0,29.708,0.558,29.15
GDino+MegaPose,crackerbox,success,463.703,179.267,452.115,0.0,268.441,0.558,267.883
GDino+MegaPose,deodorant,success,108.107,139.075,109.9702,0.0,30.162,0.576,29.586
SAM2+MegaPose,lamp,success,90.633,140.784,90.6412,0.0,16.066,2.475,13.591
SAM2+MegaPose,cone,success,80.39,137.307,74.5629,0.0,8.78,1.845,6.935
SAM2+MegaPose,redcup,success,103.938,110.428,105.1897,0.0,18.786,1.918,16.868
SAM2+MegaPose,bottle,success,41.003,149.014,42.9439,0.0,16.65,1.918,14.733
SAM2+MegaPose,crackerbox,success,423.282,145.034,414.5732,0.0,135.429,1.908,133.521
SAM2+MegaPose,deodorant,success,109.345,179.686,110.5468,0.0,16.524,1.913,14.611
SAM3+MegaPose,lamp,success,254.507,165.402,255.3647,0.0,22.059,5.701,16.358
SAM3+MegaPose,cone,success,368.645,177.119,361.1971,0.0,11.853,4.977,6.877
SAM3+MegaPose,redcup,success,432.212,83.459,432.1183,0.0,20.33,5.257,15.073
SAM3+MegaPose,bottle,success,424.871,44.856,425.3802,0.0,20.596,5.38,15.216
SAM3+MegaPose,crackerbox,success,472.791,178.874,471.1796,0.0,140.544,5.307,135.237
SAM3+MegaPose,deodorant,success,471.286,165.09,470.3609,0.0,18.464,5.245,13.22
YOLO+MegaPose,lamp,success,1.276,6.755,1.3061,100.0,4.364,0.654,3.71
YOLO+MegaPose,cone,success,107.896,165.003,112.899,0.0,1.997,0.073,1.924
YOLO+MegaPose,redcup,class_not_in_model,,,,,,,
YOLO+MegaPose,bottle,class_not_in_model,,,,,,,
YOLO+MegaPose,crackerbox,class_not_in_model,,,,,,,
YOLO+MegaPose,deodorant,class_not_in_model,,,,,,,
GDino+FP,lamp,success,64.501,94.464,64.3533,0.0,14.707,1.161,13.546
GDino+FP,cone,success,72.687,172.659,69.4571,0.0,13.601,0.595,13.006
GDino+FP,redcup,success,100.55,45.29,105.1436,0.0,14.25,0.592,13.658
GDino+FP,bottle,success,40.023,154.185,42.4339,0.0,14.234,0.6,13.634
GDino+FP,crackerbox,estimation_failed,,,,,,,
GDino+FP,deodorant,estimation_failed,,,,,,,
SAM2+FP,lamp,success,62.152,163.705,62.372,0.0,15.145,1.782,13.363
SAM2+FP,cone,success,68.451,132.054,64.9392,0.0,14.337,1.265,13.073
SAM2+FP,redcup,success,100.882,62.243,105.2213,0.0,14.891,1.272,13.619
SAM2+FP,bottle,success,40.364,154.989,42.562,0.0,14.879,1.267,13.612
SAM2+FP,crackerbox,estimation_failed,,,,,,,
SAM2+FP,deodorant,estimation_failed,,,,,,,
SAM3+FP,lamp,success,0.062,18.513,0.2173,100.0,22.244,8.699,13.546
SAM3+FP,cone,success,30.76,176.907,26.0681,0.0,17.933,4.788,13.145
SAM3+FP,redcup,success,112.763,174.98,120.2796,0.0,18.462,4.756,13.705
SAM3+FP,bottle,success,54.378,26.67,54.2733,0.0,18.401,4.708,13.693
SAM3+FP,crackerbox,estimation_failed,,,,,,,
SAM3+FP,deodorant,success,102.667,73.425,102.884,0.0,18.494,4.715,13.779
YOLO+FP,lamp,success,0.069,12.747,0.1738,100.0,2.49,0.743,1.747
YOLO+FP,cone,success,35.719,106.182,28.2255,0.0,1.74,0.099,1.642
YOLO+FP,redcup,class_not_in_model,,,,,,,
YOLO+FP,bottle,class_not_in_model,,,,,,,
YOLO+FP,crackerbox,class_not_in_model,,,,,,,
YOLO+FP,deodorant,class_not_in_model,,,,,,,
